Category,Script ,Source,
"HIGH COURT OF JUSTICE
QUEEN'S BENCH DIVISION","Either WAW has evidence of breach or it does not. It is not for the 5 Ds to present WAW with evidence of breach at this stage, 
although it is readily accepted that should WAW succeed at the speedy trial in establishing that the restrictive covenants are 
enforceable then Ds would be bound to disclose evidence as to the same.",https://caselaw.nationalarchives.gov.uk/ewhc/qb/2016/2319,
COURT OF APPEAL (CIVIL DIVISION),"And the truth of the matter is that whatever doubts one might have about the complainants individually, the body of evidence, 
from a score of separate people, all goes one way. Further, none of it seems to bear any mark of unreliability, and all of it accords with 
what one would generally expect of the CIO.",https://www.bailii.org/ew/cases/EWCA/Civ/2006/401.html,
CRIMINAL COURT,"And so our simple submission is that this is in a sense a 'plums and duff' type of case, in which the Jury would be unable to reconcile 
the two versions of events. But that even -- putting it in other words other than those of Mr Justice Turner, I might perhaps describe it 
as a case in which the evidence is so at odds within itself that a properly directed Jury could not properly convict upon it.",https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html,
CRIMINAL COURT,"Could I just ask you about one thing, Mr Spencer .... that was raised by Mr Swift in the course of his argument to me?
 It was not directly concerned I think with the position as it is being put now, but what he was for saying was that the Crown 
would not seek a conviction unless",https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html,
CRIMINAL COURT,There was a kick,https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html,
CRIMINAL COURT,"Unless there was a kick, yes. Is that the Crown's position?",https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html,
CRIMINAL COURT,"It is not the position, I am afraid. No.",https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html,
CRIMINAL COURT,But I just thought that I would like to establish myself whether or not that was the Crown's position as Mr Swift seemed to be assuming,https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html,
CRIMINAL COURT,"It is not, your Honour, no. You will recall when I opened the case that I placed emphasis on the fact of the kick as being evidence of 
the specific intent",https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html, 
CRIMINAL COURT,and that is all that I am prepared to say.,https://www.bailii.org/ew/cases/EWCA/Crim/1999/2260.html,
